13796;57319;Aue, Westfalen;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0562;8.28896
13813;25836;Augustenkoog;DEUTSCHLAND;SCHLESWIG-HOLSTEIN;54.3882384446641;8.73860065979947
13848;06388;Baasdorf;DEUTSCHLAND;SACHSEN-ANHALT;51.70735;11.9794400000001
13849;03246;Babben;DEUTSCHLAND;BRANDENBURG;51.71272;13.7863
13871;57319;Bad Berleburg;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.058;8.3961
13910;38836;Badersleben;DEUTSCHLAND;SACHSEN-ANHALT;51.98529;10.89122
13923;38667;Bad Harzburg;DEUTSCHLAND;NIEDERSACHSEN;51.8831;10.5644
14021;19348;Baek;DEUTSCHLAND;BRANDENBURG;53.1667771817453;11.9166141693115
14026;03172;Bärenklau, Niederlausitz;DEUTSCHLAND;BRANDENBURG;51.93608;14.5636500000001
14028;01773;Bärenstein, Osterzgebirge;DEUTSCHLAND;SACHSEN;50.80172;13.7969399999999
14033;03130;Bagenz;DEUTSCHLAND;BRANDENBURG;51.6501331368585;14.4333858306885
14036;03249;Bahren, Niederlausitz;DEUTSCHLAND;BRANDENBURG;51.70652;13.6962599999999
14073;14715;Bamme;DEUTSCHLAND;BRANDENBURG;52.5749549884379;12.433471661377
14081;17429;Bansin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.96868;14.13845
14083;19246;Bantin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.55021;10.97246
14084;19260;Banzin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.40923;10.9129800000001
14093;16866;Barenthin;DEUTSCHLAND;BRANDENBURG;52.9243232269574;12.2385356719972
14105;19395;Barkow bei Lübz;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.46497;12.17948
14106;39179;Barleben;DEUTSCHLAND;SACHSEN-ANHALT;52.20146;11.62005
14112;14715;Barnewitz;DEUTSCHLAND;BRANDENBURG;52.5626;12.61598
14138;16352;Basdorf bei Berlin;DEUTSCHLAND;BRANDENBURG;52.71752;13.4352699999999
14139;16818;Basdorf bei Neuruppin;DEUTSCHLAND;BRANDENBURG;53.0924753077318;12.7311542327881
14149;35108;Battenfeld, Kreis Frankenberg, Eder;DEUTSCHLAND;HESSEN;51.0333;8.66667
14155;40789;Baumberg, Rheinland;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.1167;6.9
14193;57319;Beddelhausen;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0027;8.4881
14201;15926;Beesdau;DEUTSCHLAND;BRANDENBURG;51.7915;13.7399
14202;06425;Beesenlaublingen;DEUTSCHLAND;SACHSEN-ANHALT;51.71175;11.69584
14206;17111;Beestland;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.93505;12.92979
14220;98631;Behrungen;DEUTSCHLAND;THUERINGEN;50.4167;10.4167
14222;23996;Beidendorf bei Bad Kleinen;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.82847;11.38674
14248;06425;Belleben;DEUTSCHLAND;SACHSEN-ANHALT;51.67445;11.63355
14251;18292;Bellin bei Güstrow;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.70875;12.1892
14252;17309;Belling;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.54624;13.96911
14265;19339;Bendelin;DEUTSCHLAND;BRANDENBURG;52.9101785300448;12.1655842010498
14278;19260;Bennin;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.45026;10.8878099999999
14309;14641;Berge bei Nauen;DEUTSCHLAND;BRANDENBURG;52.62168;12.79488
14319;14641;Bergerdamm;DEUTSCHLAND;BRANDENBURG;52.65595;12.80466
14324;57319;Berghausen, Kreis Wittgenstein;DEUTSCHLAND;NORDRHEIN-WESTFALEN;51.0385;8.35498
14328;14558;Bergholz-Rehbrücke;DEUTSCHLAND;BRANDENBURG;52.34437;13.10199
14344;06773;Bergwitz;DEUTSCHLAND;SACHSEN-ANHALT;51.79429;12.5885
14346;98631;Berkach bei Meiningen;DEUTSCHLAND;THUERINGEN;50.4333;10.4
14357;16909;Berlinchen;DEUTSCHLAND;BRANDENBURG;53.21811;12.57935
14403;19309;Besandten;DEUTSCHLAND;BRANDENBURG;53.09915;11.28309
14419;03238;Betten;DEUTSCHLAND;BRANDENBURG;51.6287181668839;13.7678157989502
14423;38667;Bettingerode;DEUTSCHLAND;NIEDERSACHSEN;51.9029;10.5655
14429;16833;Betzin;DEUTSCHLAND;BRANDENBURG;52.76035;12.76291
14438;17268;Beutel;DEUTSCHLAND;BRANDENBURG;53.114021163932;13.3917602539062
14440;16928;Beveringen;DEUTSCHLAND;BRANDENBURG;53.15517;12.23117
14447;39264;Bias;DEUTSCHLAND;SACHSEN-ANHALT;51.92639;12.08678
14455;98631;Bibra bei Meiningen;DEUTSCHLAND;THUERINGEN;50.4667;10.4333
14468;15913;Biebersdorf;DEUTSCHLAND;BRANDENBURG;51.9847272609736;13.9736522857665
14486;16278;Biesenbrow;DEUTSCHLAND;BRANDENBURG;53.1196362247098;14.0115501586915
14487;16306;Biesendahlshof;DEUTSCHLAND;BRANDENBURG;53.1964;14.2092
14488;06343;Biesenrode;DEUTSCHLAND;SACHSEN-ANHALT;51.6059707241052;11.3863040740966
14505;15754;Bindow;DEUTSCHLAND;BRANDENBURG;52.2858;13.74302
14531;07336;Birkigt bei Saalfeld, Saale;DEUTSCHLAND;THUERINGEN;50.6667;11.4833
14541;03222;Bischdorf, Niederlausitz;DEUTSCHLAND;BRANDENBURG;51.80057;13.9659300000001
14556;17322;Bismark bei Pasewalk;DEUTSCHLAND;MECKLENBURG-VORPOMMERN;53.45649;14.31562
14573;16909;Blandikow;DEUTSCHLAND;BRANDENBURG;53.1171;12.3830399999999
14579;15827;Blankenfelde bei Zossen bei Berlin;DEUTSCHLAND;BRANDENBURG;52.33525;13.40873
14598;16909;Blesendorf;DEUTSCHLAND;BRANDENBURG;53.2100246760225;12.3461746032715
